정부,대통령,명칭,이름,임기시작,임기종료,링크
제1공화국,이승만,교통부 장관,민희식,1948년 8월 2일,1948년 10월 4일,https://ko.wikipedia.org/w/index.php?title=%EB%AF%BC%ED%9D%AC%EC%8B%9D&action=edit&redlink=1
제1공화국,이승만,교통부 장관,허정,1948년 10월 4일,1950년 5월 10일,https://ko.wikipedia.org/wiki/%ED%97%88%EC%A0%95
제1공화국,이승만,교통부 장관,김석관,1950년 5월 10일,1953년 2월 3일,https://ko.wikipedia.org/w/index.php?title=%EA%B9%80%EC%84%9D%EA%B4%80&action=edit&redlink=1
제1공화국,이승만,교통부 장관,윤성순,1953년 2월 3일,1954년 2월 10일,https://ko.wikipedia.org/wiki/%EC%9C%A4%EC%84%B1%EC%88%9C
제1공화국,이승만,교통부 장관,이종림,1954년 2월 10일,1957년 6월 9일,https://ko.wikipedia.org/w/index.php?title=%EC%9D%B4%EC%A2%85%EB%A6%BC&action=edit&redlink=1
제1공화국,이승만,교통부 장관,문봉제,1957년 6월 9일,1958년 9월 9일,https://ko.wikipedia.org/w/index.php?title=%EB%AC%B8%EB%B4%89%EC%A0%9C&action=edit&redlink=1
제1공화국,이승만,교통부 장관,최인규,1958년 9월 9일,1959년 3월 20일,https://ko.wikipedia.org/wiki/%EC%B5%9C%EC%9D%B8%EA%B7%9C_
제1공화국,이승만,교통부 장관,김일환,1959년 3월 20일,1960년 4월 28일,https://ko.wikipedia.org/wiki/%EA%B9%80%EC%9D%BC%ED%99%98_
제1공화국,이승만,교통부 장관,석상옥,1960년 4월 28일,1960년 8월 19일,https://ko.wikipedia.org/w/index.php?title=%EC%84%9D%EC%83%81%EC%98%A5&action=edit&redlink=1
제1공화국,이승만,체신부 장관,윤석구,1948년 8월 4일,1949년 6월 13일,https://ko.wikipedia.org/wiki/%EC%9C%A4%EC%84%9D%EA%B5%AC
제1공화국,이승만,체신부 장관,장기영,1949년 6월 14일,1952년 1월 11일,https://ko.wikipedia.org/wiki/%EC%9E%A5%EA%B8%B0%EC%98%81_
제1공화국,이승만,체신부 장관,이순용,1952년 1월 12일,1952년 3월 20일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%88%9C%EC%9A%A9
제1공화국,이승만,체신부 장관,조주영,1952년 3월 27일,1952년 10월 8일,https://ko.wikipedia.org/wiki/%EC%A1%B0%EC%A3%BC%EC%98%81_
제1공화국,이승만,체신부 장관,강인택,1952년 10월 9일,1954년 6월 29일,https://ko.wikipedia.org/w/index.php?title=%EA%B0%95%EC%9D%B8%ED%83%9D&action=edit&redlink=1
제1공화국,이승만,체신부 장관,이광,1954년 6월 30일,1955년 9월 15일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EA%B4%91_
제1공화국,이승만,체신부 장관,이응준,1955년 9월 16일,1958년 9월 8일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%9D%91%EC%A4%80_
제1공화국,이승만,체신부 장관,곽의영,1958년 9월 9일,1960년 5월 1일,https://ko.wikipedia.org/wiki/%EA%B3%BD%EC%9D%98%EC%98%81
제1공화국,이승만,체신부 장관,오정수,1960년 5월 2일,1960년 6월 1일,https://ko.wikipedia.org/w/index.php?title=%EC%98%A4%EC%A0%95%EC%88%98&action=edit&redlink=1
제1공화국,이승만,체신부 장관,최용덕,1960년 6월 2일,1960년 8월 22일,https://ko.wikipedia.org/wiki/%EC%B5%9C%EC%9A%A9%EB%8D%95_
제2공화국,윤보선,대통령,윤보선,1960년 8월,1961년 5월,https://ko.wikipedia.org/wiki/%EC%9C%A4%EB%B3%B4%EC%84%A0
제2공화국,윤보선,국무총리,장면,1960년 8월,1961년 5월,https://ko.wikipedia.org/wiki/%EC%9E%A5%EB%A9%B4
제2공화국,윤보선,국무원사무처장,오위영,1960년 8월,1960년 8월,https://ko.wikipedia.org/wiki/%EC%98%A4%EC%9C%84%EC%98%81
제2공화국,윤보선,국무원사무처장,정헌주,1960년 9월,1961년 5월,https://ko.wikipedia.org/wiki/%EC%A0%95%ED%97%8C%EC%A3%BC
제2공화국,윤보선,외무부 장관,정일형,1960년 8월,1961년 5월,https://ko.wikipedia.org/wiki/%EC%A0%95%EC%9D%BC%ED%98%95
제2공화국,윤보선,내무부 장관,홍익표,1960년 8월,1960년 8월,https://ko.wikipedia.org/wiki/%ED%99%8D%EC%9D%B5%ED%91%9C_
제2공화국,윤보선,내무부 장관,이상철,1960년 9월,1960년 9월,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%83%81%EC%B2%A0_
제2공화국,윤보선,내무부 장관,현석호,1960년 10월,1960년 10월,https://ko.wikipedia.org/wiki/%ED%98%84%EC%84%9D%ED%98%B8
제2공화국,윤보선,내무부 장관,신현돈,1960년 11월,1961년 1월,https://ko.wikipedia.org/wiki/%EC%8B%A0%ED%98%84%EB%8F%88_
제2공화국,윤보선,내무부 장관,조재천,1961년 5월,1961년 5월,https://ko.wikipedia.org/wiki/%EC%A1%B0%EC%9E%AC%EC%B2%9C
제2공화국,윤보선,재무부 장관,김영선,1960년 8월,1961년 5월,https://ko.wikipedia.org/wiki/%EA%B9%80%EC%98%81%EC%84%A0_
제2공화국,윤보선,법무부 장관,조재천,1960년 8월,1961년 1월,https://ko.wikipedia.org/wiki/%EC%A1%B0%EC%9E%AC%EC%B2%9C
제2공화국,윤보선,법무부 장관,이병하,1961년 5월,1961년 5월,https://ko.wikipedia.org/wiki/%EC%9D%B4%EB%B3%91%ED%95%98
제2공화국,윤보선,국방부 장관,현석호,1960년 8월,1960년 8월,https://ko.wikipedia.org/wiki/%ED%98%84%EC%84%9D%ED%98%B8
제2공화국,윤보선,국방부 장관,권중돈,1960년 9월,1960년 11월,https://ko.wikipedia.org/wiki/%EA%B6%8C%EC%A4%91%EB%8F%88
제2공화국,윤보선,국방부 장관,현석호,1961년 1월,1961년 5월,https://ko.wikipedia.org/wiki/%ED%98%84%EC%84%9D%ED%98%B8
